Connected Company,Start Company Sector,Connected Company Sector,Start CompanyID*,Start Company Type,Start Company Role End Date,Connected Company Index,DirectorID*,Connected Company Duration,ED/NED/Non-Brd,Connected Company Role End Date,Connected Company Current/Historic,Start Company Current/Historic,Connected CompanyID*,Start Company,Connected Company Type,Start Company Duration,Start Company Role,Start Company Role Start Date,Connected Company Country,Connected Company Role Name,Start Company Country,Start ED/NED/Non-Brd,Start Company Index,Director Name,Connected Company Role Start Date,inputfilestem,region,mgmt_type,workbook_name,fragment_number,sheet_name
2Wire Inc,Information Technology Hardware,,3569711015,Quoted,1994-01-01 00:00:00,,13381636608,7,Non-Brd,2006-12-01 00:00:00,Historic (2006),Historic (1994),49838310205,SEAGATE TECHNOLOGY PLC (Seagate Technology prior to 07/2010),Private,12,Various Positions,1982,United States,Senior Director - Ops,Republic Of Ireland,Non-Brd,S&P 500,Fred Harried,2000-05-01 00:00:00,Europe - Company Network - 9,Europe,Director,Company Network,9,
AAON Canada Inc,Engineering & Machinery,,13813691,Quoted,1999-07-01 00:00:00,,3643987455,9,Non-Brd,2017-11-30 00:00:00,Historic (2017),Historic (2017),6449862984,AAON INC,Private,7,Accounting Manager,1992,Canada,VP/Treasurer,United States,Non-Brd,S&P SMALL CAP 600,Kathy I Sheffield,2009-04-01 00:00:00,NA - Company Network - 1,NA,Director,Company Network,1,
AAON Canada Inc,Engineering & Machinery,,13813691,Quoted,2012-08-09 00:00:00,,3643987455,9,Non-Brd,2017-11-30 00:00:00,Historic (2017),Historic (2017),6449862984,AAON INC,Private,8,VP/CFO/Treasurer,2004,Canada,VP/Treasurer,United States,Non-Brd,S&P SMALL CAP 600,Kathy I Sheffield,2009-04-01 00:00:00,NA - Company Network - 1,NA,Director,Company Network,1,
AAON Canada Inc,Engineering & Machinery,,13813691,Quoted,2017-11-30 00:00:00,,3643987455,9,Non-Brd,2017-11-30 00:00:00,Historic (2017),Historic (2017),6449862984,AAON INC,Private,5,Senior VP/Treasurer,2012-08-09 00:00:00,Canada,VP/Treasurer,United States,Non-Brd,S&P SMALL CAP 600,Kathy I Sheffield,2009-04-01 00:00:00,NA - Company Network - 1,NA,Director,Company Network,1,
AAON Canada Inc,Engineering & Machinery,,13813691,Quoted,2004,,3643987455,9,Non-Brd,2017-11-30 00:00:00,Historic (2017),Historic (2017),6449862984,AAON INC,Private,2,VP/Treasurer,2002-06-01 00:00:00,Canada,VP/Treasurer,United States,Non-Brd,S&P SMALL CAP 600,Kathy I Sheffield,2009-04-01 00:00:00,NA - Company Network - 1,NA,Director,Company Network,1,
AAON Canada Inc,Engineering & Machinery,,13813691,Quoted,2002-06-01 00:00:00,,3643987455,9,Non-Brd,2017-11-30 00:00:00,Historic (2017),Historic (2017),6449862984,AAON INC,Private,3,Treasurer,1999-07-01 00:00:00,Canada,VP/Treasurer,United States,Non-Brd,S&P SMALL CAP 600,Kathy I Sheffield,2009-04-01 00:00:00,NA - Company Network - 1,NA,Director,Company Network,1,
Academy of Political Science (APS),Electronic & Electrical Equipment,,2589012216,Quoted,Current,,2243101619,,Other,,Historic,Current,4561826034,LITTELFUSE INC,Private,29,Independent Director,1991-12-01 00:00:00,United States,Trustee,United States,NED,S&P MID CAP 400,Anthony (Tony) Grillo,,NA - Company Network - 10,NA,Director,Company Network,10,
Accenture Holdings BV (Formerly Known as Andersen Consulting BV),Electronic & Electrical Equipment,,2589012216,Quoted,2007,,24476537630,2,Non-Brd,1992-07-01 00:00:00,Historic (1992),Historic (2007),274224310356,LITTELFUSE INC,Private,< 1 Year,Senior Consultant,2007,Netherlands,Management Consultant,United States,Non-Brd,S&P MID CAP 400,Nito Waals,1990-10-01 00:00:00,NA - Company Network - 10,NA,Director,Company Network,10,
ADC TELECOMMUNICATIONS INC (De-listed 12/2010),Electronic & Electrical Equipment,Electronic & Electrical Equipment,2589012216,Quoted,2004-04-30 00:00:00,,3649507510,5,Non-Brd,2001,Historic (2001),Historic (2009),21453059,LITTELFUSE INC,Quoted,1,General Manager,2003-01-01 00:00:00,United States,Various Positions,United States,Non-Brd,S&P MID CAP 400,David (Dave) R Samyn,1996,NA - Company Network - 10,NA,Director,Company Network,10,
ADC TELECOMMUNICATIONS INC (De-listed 12/2010),Electronic & Electrical Equipment,Electronic & Electrical Equipment,2589012216,Quoted,2009-10-22 00:00:00,,3649507510,5,Non-Brd,2001,Historic (2001),Historic (2009),21453059,LITTELFUSE INC,Quoted,5,VP/Division General Manager,2004-04-30 00:00:00,United States,Various Positions,United States,Non-Brd,S&P MID CAP 400,David (Dave) R Samyn,1996,NA - Company Network - 10,NA,Director,Company Network,10,
Advanced Diamond Technologies Inc (ADT),Electronic & Electrical Equipment,Chemicals,2589012216,Quoted,2000,,11899614538,14,NED,Current,Current,Historic (2000),92044510975,LITTELFUSE INC,Private,5,Business Development Manager,1995,United States,Director -SD,United States,Non-Brd,S&P MID CAP 400,Jeffrey (Jeff) S Niew,2007,NA - Company Network - 10,NA,Director,Company Network,10,
2nd Swing Inc,General Retailers,,198927917,Quoted,2007-07-24 00:00:00,,52784412418,1,Non-Brd,2005-12-01 00:00:00,Historic (2005),Historic (2013),8664695693,WINMARK CORP (Grow Biz International prior to 11/2001),Private,1,Marketing Director,2006-03-21 00:00:00,United States,Various Positions,United States,Non-Brd,,Merry Beth Hovey,2004-11-01 00:00:00,NA - Company Network - 11,NA,Director,Company Network,11,
2nd Swing Inc,General Retailers,,198927917,Quoted,2013-04-01 00:00:00,,52784412418,1,Non-Brd,2005-12-01 00:00:00,Historic (2005),Historic (2013),8664695693,WINMARK CORP (Grow Biz International prior to 11/2001),Private,6,Vice President - Mktg,2007-07-24 00:00:00,United States,Various Positions,United States,Non-Brd,,Merry Beth Hovey,2004-11-01 00:00:00,NA - Company Network - 11,NA,Director,Company Network,11,
Aimia Proprietary Loyalty US Inc (Formerly known as Carlson Marketing Worldwide Inc),General Retailers,,198927917,Quoted,Current,,4822998816,4,Non-Brd,2011-12-01 00:00:00,Historic (2011),Current,16041859329,WINMARK CORP (Grow Biz International prior to 11/2001),Private,20,Independent Director,2001-01-01 00:00:00,United States,Vice President - Merchandising,United States,NED,,Jenele C Grassle,2008-05-01 00:00:00,NA - Company Network - 11,NA,Director,Company Network,11,
AIRTRAN HOLDINGS INC (De-listed 05/2011),General Retailers,Transport,198927917,Quoted,2000-05-03 00:00:00,,1212352719,< 1 Year,NED,1998-05-14 00:00:00,Historic (1998),Historic (2000),29375566,WINMARK CORP (Grow Biz International prior to 11/2001),Quoted,7,Director -SD,1993-09-01 00:00:00,United States,Director -SD,United States,NED,,Robert (Bob) Carl Pohlad,1997-11-01 00:00:00,NA - Company Network - 11,NA,Director,Company Network,11,
All Children's Theater,General Retailers,,198927917,Quoted,2000,,13461766705,,Other,,Historic,Historic (2000),174960410555,WINMARK CORP (Grow Biz International prior to 11/2001),Clubs,7,Director -SD,1993-06-01 00:00:00,United States,Director -SD,United States,NED,,Dennis J Doyle,,NA - Company Network - 11,NA,Director,Company Network,11,
#Angels LLC,Diversified Industrials,,279913389,Quoted,2000-12-01 00:00:00,,192917911928,6,Non-Brd,Current,Current,Historic (2000),26779059819,3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Private,1,Intern,2000-05-01 00:00:00,United States,Founding Partner,United States,Non-Brd,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",April Underwood,2015-03-01 00:00:00,NA - Company Network - 12,NA,Director,Company Network,12,
100 Black Men of America Inc,Diversified Industrials,,279913389,Quoted,2006-05-09 00:00:00,,327488797,7,Other,Current,Current,Historic (2006),8597544690,3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Charities,13,Independent Director,1993,United States,Member,United States,NED,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",The Hon. Doctor Louis Wade Sullivan,2014-07-01 00:00:00,NA - Company Network - 12,NA,Director,Company Network,12,
128 Technology Inc,Diversified Industrials,,279913389,Quoted,2000-09-01 00:00:00,,13551626813,2,Non-Brd,Current,Current,Historic (2000),24423467576,3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Private,2,Sales Manager,1998-06-01 00:00:00,United States,Regional Sales Director,United States,Non-Brd,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",Tory Teague,2018-10-01 00:00:00,NA - Company Network - 12,NA,Director,Company Network,12,
1st Reverse Mortgage USA,Diversified Industrials,,279913389,Quoted,,,24872998042,3,Non-Brd,2019-11-01 00:00:00,Historic (2019),Historic,34041786990,3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Private,,Various Positions,,United States,Director - Marketing & Communications,United States,Non-Brd,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",Dale Jones,2017-03-01 00:00:00,NA - Company Network - 12,NA,Director,Company Network,12,
20/20 HealthCare LLC,Diversified Industrials,,279913389,Quoted,,,5889269099,,Other,,Historic,Historic,21989654345,3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Private,,Investment Manager,,United States,Chairman,United States,Non-Brd,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",Terrence (Terry) J Quinn,,NA - Company Network - 12,NA,Director,Company Network,12,
1843 Capital Ventures LP,Diversified Industrials,,952293834,Quoted,Current,,11087912907,1,Non-Brd,Current,Current,Current,31682093456,ENPRO INDUSTRIES INC,Partnership,2,Independent Director,2018-10-30 00:00:00,United States,Advisory Board Member,United States,NED,S&P SMALL CAP 600,Adele M Gulfo,2020-04-01 00:00:00,NA - Company Network - 13,NA,Director,Company Network,13,
3M Europe NV SA,Diversified Industrials,,952293834,Quoted,Current,,20528511764,,NED,,Historic,Current,11965124656,ENPRO INDUSTRIES INC,Private,9,Independent Director,2012-05-02 00:00:00,Belgium,Board Member -SD,United States,NED,S&P SMALL CAP 600,Cornelis (Kees) van der Graaf,,NA - Company Network - 13,NA,Director,Company Network,13,
ACE Group Holdings Inc,Diversified Industrials,,952293834,Quoted,2007-02-14 00:00:00,,422817025,,NED,,Historic,Historic (2007),198518712332,ENPRO INDUSTRIES INC,Private,5,Independent Director,2002-05-21 00:00:00,United States,Director -SD,United States,NED,S&P SMALL CAP 600,James (Jim) Henry Hance Jr,,NA - Company Network - 13,NA,Director,Company Network,13,
Achievement Centers for Children (ACC),Diversified Industrials,,952293834,Quoted,2011-05-05 00:00:00,,1056062828,,Other,,Historic,Historic (2017),10459712661,ENPRO INDUSTRIES INC,Private,9,Independent Director,2002-05-21 00:00:00,United States,Trustee,United States,NED,S&P SMALL CAP 600,Gordon D Harnett,,NA - Company Network - 13,NA,Director,Company Network,13,
Achievement Centers for Children (ACC),Diversified Industrials,,952293834,Quoted,2017-04-26 00:00:00,,1056062828,,Other,,Historic,Historic (2017),10459712661,ENPRO INDUSTRIES INC,Private,6,Independent Chairman,2011-05-05 00:00:00,United States,Trustee,United States,NED,S&P SMALL CAP 600,Gordon D Harnett,,NA - Company Network - 13,NA,Director,Company Network,13,
A Better Chicago,Publishing,,2700412886,Quoted,2010-03-01 00:00:00,,15787759099,1,Other,2017.0,Historic (2017),Historic (2010),185885411406,MCCLATCHY CO (MNI Newco Inc prior to 02/1998) (De-listed 02/2020),Private,2,Vice President - Strategy,2008-06-01 00:00:00,United States,Council Member,United States,Non-Brd,,Elaine Richards,2016.0,NA - Company Network - 14,NA,Director,Company Network,14,
AAJ Technologies Inc (OZ),Publishing,,2700412886,Quoted,,,197207112245,5,Non-Brd,2014.0,Historic (2014),Historic,25569508730,MCCLATCHY CO (MNI Newco Inc prior to 02/1998) (De-listed 02/2020),Private,,Various Positions,,United States,Marketing Manager,United States,Non-Brd,,Vicky Durkin,2009.0,NA - Company Network - 14,NA,Director,Company Network,14,
Abilene Chamber of Commerce,Publishing,,2700412886,Quoted,2020-02-14 00:00:00,,8915058496,1,Other,2005.0,Historic (2005),Historic (2020),40394610951,MCCLATCHY CO (MNI Newco Inc prior to 02/1998) (De-listed 02/2020),Private,2,Head of Sales,2018-01-01 00:00:00,United States,Education,United States,Non-Brd,,Kimberly (Kim) Nussbaum,2004.0,NA - Company Network - 14,NA,Director,Company Network,14,
Abilene Chamber of Commerce,Publishing,,2700412886,Quoted,2015-06-01 00:00:00,,8915058496,1,Other,2005.0,Historic (2005),Historic (2020),40394610951,MCCLATCHY CO (MNI Newco Inc prior to 02/1998) (De-listed 02/2020),Private,4,Division President/Publisher,2011-08-16 00:00:00,United States,Education,United States,Non-Brd,,Kimberly (Kim) Nussbaum,2004.0,NA - Company Network - 14,NA,Director,Company Network,14,
Abilene Chamber of Commerce,Publishing,,2700412886,Quoted,2020-02-14 00:00:00,,8915058496,,NED,,Historic (2005),Historic (2020),40394610951,MCCLATCHY CO (MNI Newco Inc prior to 02/1998) (De-listed 02/2020),Private,2,Head of Sales,2018-01-01 00:00:00,United States,Director -SD,United States,Non-Brd,,Kimberly (Kim) Nussbaum,,NA - Company Network - 14,NA,Director,Company Network,14,
(ISC)2 Alamo Chapter,Information Technology Hardware,,290845107,Quoted,2015,,23465006484,1,Other,2011-08-01 00:00:00,Historic (2011),Historic (2015),32342264690,NCR CORP,Private,< 1 Year,Various Positions,2015,United States,Education,United States,Non-Brd,S&P MID CAP 400,Allen Sautter,2010-08-01 00:00:00,NA - Company Network - 15,NA,Director,Company Network,15,
2020 Inc (2020 On-Site) (Formerly known as Project 2020 Inc),Information Technology Hardware,,290845107,Quoted,1990-12-01 00:00:00,,5865938883,1,Non-Brd,2016-10-01 00:00:00,Historic (2016),Historic (1990),24716197886,NCR CORP,Private,4,Various Positions,1986-08-01 00:00:00,United States,Vice President - Customer Support,United States,Non-Brd,S&P MID CAP 400,Jack Kramer,2015-12-01 00:00:00,NA - Company Network - 15,NA,Director,Company Network,15,
2020 Ltd,Information Technology Hardware,,290845107,Quoted,2006,,16588289801,7,Non-Brd,Current,Current,Historic (2006),31417392828,NCR CORP,Private,2,Regional Sales Director,2004,Republic Of Ireland,CEO,United States,Non-Brd,S&P MID CAP 400,Kieran Mark Lees,2014-01-01 00:00:00,NA - Company Network - 15,NA,Director,Company Network,15,
21st Century Entrepreneurs Inc,Information Technology Hardware,,290845107,Quoted,1997,,5414272932,5,Non-Brd,Current,Current,Historic (2007),291415611696,NCR CORP,Private,15,Various Positions,1982,United States,CEO,United States,Non-Brd,S&P MID CAP 400,Darryl D McDonald,2016-03-01 00:00:00,NA - Company Network - 15,NA,Director,Company Network,15,
21st Century Entrepreneurs Inc,Information Technology Hardware,,290845107,Quoted,2003-04-01 00:00:00,,5414272932,5,Non-Brd,Current,Current,Historic (2007),291415611696,NCR CORP,Private,6,Division VP,1997,United States,CEO,United States,Non-Brd,S&P MID CAP 400,Darryl D McDonald,2016-03-01 00:00:00,NA - Company Network - 15,NA,Director,Company Network,15,
012 Smile Telecom Ltd,General Retailers,,305496790,Quoted,2005-12-01 00:00:00,,53536712928,2,Non-Brd,2014-06-01 00:00:00,Historic (2014),Historic (2005),172112510323,ODP CORP (THE) (Office Depot Inc prior to 07/2020),Private,< 1 Year,Division Director,2005-10-01 00:00:00,Israel,CEO,United States,Non-Brd,S&P SMALL CAP 600,Ori Watermann,2012-11-01 00:00:00,NA - Company Network - 16,NA,Director,Company Network,16,
012 Smile.Communications Ltd (Listed 11/2007),General Retailers,,305496790,Quoted,2005-12-01 00:00:00,,53536712928,1,Non-Brd,2007-11-14 00:00:00,Historic (2007),Historic (2005),91184110289,ODP CORP (THE) (Office Depot Inc prior to 07/2020),Private,< 1 Year,Division Director,2005-10-01 00:00:00,Israel,Division VP,United States,Non-Brd,S&P SMALL CAP 600,Ori Watermann,2007-01-01 00:00:00,NA - Company Network - 16,NA,Director,Company Network,16,
24 Hour Fitness USA Inc,General Retailers,,305496790,Quoted,2005-12-01 00:00:00,,177842010783,2,ED,Current,Current,Historic (2009),15430938768,ODP CORP (THE) (Office Depot Inc prior to 07/2020),Private,3,Vice President - Corporate Strategy,2003-03-01 00:00:00,United States,CEO,United States,Non-Brd,S&P SMALL CAP 600,Anthony (Tony) Ueber,2019-01-15 00:00:00,NA - Company Network - 16,NA,Director,Company Network,16,
24 Hour Fitness USA Inc,General Retailers,,305496790,Quoted,2007-03-01 00:00:00,,177842010783,2,ED,Current,Current,Historic (2009),15430938768,ODP CORP (THE) (Office Depot Inc prior to 07/2020),Private,1,Senior VP - Mktg,2006-01-01 00:00:00,United States,CEO,United States,Non-Brd,S&P SMALL CAP 600,Anthony (Tony) Ueber,2019-01-15 00:00:00,NA - Company Network - 16,NA,Director,Company Network,16,
24 Hour Fitness USA Inc,General Retailers,,305496790,Quoted,2009-08-01 00:00:00,,177842010783,2,ED,Current,Current,Historic (2009),15430938768,ODP CORP (THE) (Office Depot Inc prior to 07/2020),Private,2,Division Senior VP,2007-03-01 00:00:00,United States,CEO,United States,Non-Brd,S&P SMALL CAP 600,Anthony (Tony) Ueber,2019-01-15 00:00:00,NA - Company Network - 16,NA,Director,Company Network,16,
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Electronic & Electrical Equipment,Diversified Industrials,324928584,Quoted,2004,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",22905225763,,Non-Brd,,Historic,Historic (2004),279913389,PLEXUS CORP,Quoted,1,Various Positions,2003,United States,Various Positions,United States,Non-Brd,S&P SMALL CAP 600,James (Jim) A Schreiner,,NA - Company Network - 17,NA,Director,Company Network,17,
AACSB International (Association to Advance Collegiate Schools of Business),Electronic & Electrical Equipment,,324928584,Quoted,2000-05-01 00:00:00,,2439475595,3,Other,Current,Current,Historic (2003),1491266955,PLEXUS CORP,Private,1,Chief Accounting Officer/Treasurer,1999,United States,Committee Member,United States,Non-Brd,S&P SMALL CAP 600,Lisa M Kelley,2018-07-01 00:00:00,NA - Company Network - 17,NA,Director,Company Network,17,
AACSB International (Association to Advance Collegiate Schools of Business),Electronic & Electrical Equipment,,324928584,Quoted,1997,,2439475595,3,Other,Current,Current,Historic (2003),1491266955,PLEXUS CORP,Private,5,Various Positions,1992-09-01 00:00:00,United States,Committee Member,United States,Non-Brd,S&P SMALL CAP 600,Lisa M Kelley,2018-07-01 00:00:00,NA - Company Network - 17,NA,Director,Company Network,17,
AACSB International (Association to Advance Collegiate Schools of Business),Electronic & Electrical Equipment,,324928584,Quoted,2003-07-01 00:00:00,,2439475595,3,Other,Current,Current,Historic (2003),1491266955,PLEXUS CORP,Private,2,Vice President - Corporate Development,2001,United States,Committee Member,United States,Non-Brd,S&P SMALL CAP 600,Lisa M Kelley,2018-07-01 00:00:00,NA - Company Network - 17,NA,Director,Company Network,17,
AACSB International (Association to Advance Collegiate Schools of Business),Electronic & Electrical Equipment,,324928584,Quoted,1998,,2439475595,3,Other,Current,Current,Historic (2003),1491266955,PLEXUS CORP,Private,1,Corporate Controller,1997,United States,Committee Member,United States,Non-Brd,S&P SMALL CAP 600,Lisa M Kelley,2018-07-01 00:00:00,NA - Company Network - 17,NA,Director,Company Network,17,
1080 Group LLC,Business Services,,3456510205,Quoted,2013-01-01 00:00:00,,23419956422,1,Non-Brd,2010-04-01 00:00:00,Historic (2010),Historic (2013),32383254756,ROBERT HALF INTERNATIONAL INC,Private,3,Manager,2010-04-01 00:00:00,United States,Account Executive,United States,Non-Brd,S&P 500,Frank Cumella,2009-03-01 00:00:00,NA - Company Network - 18,NA,Director,Company Network,18,
1k Project (The),Business Services,,3456510205,Quoted,2010,,174127710489,1,Other,Current,Current,Historic (2010),32945135595,ROBERT HALF INTERNATIONAL INC,Private,1,Consultant,2009,United States,Curator,United States,Non-Brd,S&P 500,Cat Hernandez,2020,NA - Company Network - 18,NA,Director,Company Network,18,
1st Financial Services Corp (Ceased Trading 01/2014),Business Services,Banks,3456510205,Quoted,2007-12-01 00:00:00,,11309813411,< 1 Year,Non-Brd,2014-01-01 00:00:00,Historic (2014),Historic (2007),12609725623,ROBERT HALF INTERNATIONAL INC,Private,< 1 Year,Consultant,2007-07-01 00:00:00,United States,Consultant,United States,Non-Brd,S&P 500,Holly Lynn Schreiber,2013-09-04 00:00:00,NA - Company Network - 18,NA,Director,Company Network,18,
1st Financial Services Corp (Ceased Trading 01/2014),Business Services,Banks,3456510205,Quoted,2007-12-01 00:00:00,,11309813411,3,Non-Brd,2013-09-04 00:00:00,Historic (2014),Historic (2007),12609725623,ROBERT HALF INTERNATIONAL INC,Private,< 1 Year,Consultant,2007-07-01 00:00:00,United States,Executive VP/CFO/Treasurer,United States,Non-Brd,S&P 500,Holly Lynn Schreiber,2010-05-24 00:00:00,NA - Company Network - 18,NA,Director,Company Network,18,
21st Century Oncology Holdings Inc (Radiation Therapy Services Holdings Inc prior to 11/2013),Business Services,Health,3456510205,Quoted,2008-05-01 00:00:00,,20824891263,4,Non-Brd,2012-04-01 00:00:00,Current,Historic (2008),206888712921,ROBERT HALF INTERNATIONAL INC,Private,1,Manager - Recruiting,2007-06-01 00:00:00,United States,Corporate Recruiter,United States,Non-Brd,S&P 500,Kristin Meyer,2008-05-01 00:00:00,NA - Company Network - 18,NA,Director,Company Network,18,
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Chemicals,Diversified Industrials,3698611876,Quoted,2009,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",5376351751,3,Non-Brd,1994,Historic (1994),Historic (2009),279913389,SOLUTIA INC (De-listed 07/2012),Quoted,3,Senior VP,2006-01-01 00:00:00,United States,Various Positions,United States,Non-Brd,,Kent J Davies,1991,NA - Company Network - 19,NA,Director,Company Network,19,
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Chemicals,Diversified Industrials,3698611876,Quoted,2012-07-02 00:00:00,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",10290811514,17,Non-Brd,1989-09-01 00:00:00,Historic (1996),Historic (2012),279913389,SOLUTIA INC (De-listed 07/2012),Quoted,4,Lead Independent Director,2008-02-28 00:00:00,United States,Various Positions,United States,NED,,William (Bill) Thomas Monahan,1972,NA - Company Network - 19,NA,Director,Company Network,19,
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Chemicals,Diversified Industrials,3698611876,Quoted,2012-07-02 00:00:00,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",10290811514,3,Non-Brd,1992-05-01 00:00:00,Historic (1996),Historic (2012),279913389,SOLUTIA INC (De-listed 07/2012),Quoted,4,Lead Independent Director,2008-02-28 00:00:00,United States,Division VP,United States,NED,,William (Bill) Thomas Monahan,1989-09-01 00:00:00,NA - Company Network - 19,NA,Director,Company Network,19,
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002),Chemicals,Diversified Industrials,3698611876,Quoted,2012-07-02 00:00:00,"DOW JONES INDUSTRIAL AVG, S&P 100, S&P 500",10290811514,3,Non-Brd,1996-06-01 00:00:00,Historic (1996),Historic (2012),279913389,SOLUTIA INC (De-listed 07/2012),Quoted,4,Lead Independent Director,2008-02-28 00:00:00,United States,Group VP,United States,NED,,William (Bill) Thomas Monahan,1993-06-01 00:00:00,NA - Company Network - 19,NA,Director,Company Network,19,
3M Italia SpA,Chemicals,,3698611876,Quoted,2012-07-02 00:00:00,,10290811514,1,ED,1993-05-01 00:00:00,Historic (1993),Historic (2012),955764433,SOLUTIA INC (De-listed 07/2012),Private,4,Lead Independent Director,2008-02-28 00:00:00,Italy,Senior MD,United States,NED,,William (Bill) Thomas Monahan,1992-05-01 00:00:00,NA - Company Network - 19,NA,Director,Company Network,19,
10XWell Inc,Pharmaceuticals and Biotechnology,,43443180,Quoted,,,5728887543,5,NED,Current,Current,Historic,288736311498,AMGEN INC,Private,,Various Positions,,United States,Director -SD,United States,Non-Brd,"DOW JONES INDUSTRIAL AVG, NASDAQ 100, S&P 100, S&P 500",Tom D'Orazio,2015-11-01 00:00:00,NA - Company Network - 2,NA,Director,Company Network,2,
17 Capital LLP,Pharmaceuticals and Biotechnology,,43443180,Quoted,2018-05-22 00:00:00,,3785048835,9,NED,2017-05-01 00:00:00,Historic (2017),Historic (2018),199857612433,AMGEN INC,Partnership,10,Independent Director,2008-10-02 00:00:00,United Kingdom - England,NED,United States,NED,"DOW JONES INDUSTRIAL AVG, NASDAQ 100, S&P 100, S&P 500",François De Carbonnel,2008-04-22 00:00:00,NA - Company Network - 2,NA,Director,Company Network,2,
1798 Consultants Inc,Pharmaceuticals and Biotechnology,,43443180,Quoted,2004-08-01 00:00:00,,5844908691,5,Non-Brd,2017-06-01 00:00:00,Historic (2017),Historic (2004),22150554623,AMGEN INC,Private,6,Various Positions,1998-11-01 00:00:00,United States,Principal,United States,Non-Brd,"DOW JONES INDUSTRIAL AVG, NASDAQ 100, S&P 100, S&P 500",Andrew R De Guttadauro,2012-01-01 00:00:00,NA - Company Network - 2,NA,Director,Company Network,2,
1798 Consultants Inc,Pharmaceuticals and Biotechnology,,43443180,Quoted,2004-04-01 00:00:00,,11452253712,8,Non-Brd,Current,Current,Historic (2004),22150554623,AMGEN INC,Private,1,Product Manager,2003-08-01 00:00:00,United States,Senior VP,United States,Non-Brd,"DOW JONES INDUSTRIAL AVG, NASDAQ 100, S&P 100, S&P 500",Kurt Matthew Hartman,2013-04-01 00:00:00,NA - Company Network - 2,NA,Director,Company Network,2,
1798 Consultants Inc,Pharmaceuticals and Biotechnology,,43443180,Quoted,2002-07-01 00:00:00,,11452253712,8,Non-Brd,Current,Current,Historic (2004),22150554623,AMGEN INC,Private,< 1 Year,Product Manager,2002-01-01 00:00:00,United States,Senior VP,United States,Non-Brd,"DOW JONES INDUSTRIAL AVG, NASDAQ 100, S&P 100, S&P 500",Kurt Matthew Hartman,2013-04-01 00:00:00,NA - Company Network - 2,NA,Director,Company Network,2,
100 Black Men of America Inc,Health,,391392458,Quoted,2004,,10292811529,,Other,,Historic,Historic (2004),8597544690,TENET HEALTHCARE CORP,Charities,1,Executive VP - HR,2003-08-01 00:00:00,United States,Member,United States,Non-Brd,S&P MID CAP 400,Anthony L Austin,,NA - Company Network - 20,NA,Director,Company Network,20,
100 Black Men of America Inc,Health,,391392458,Quoted,2003-08-01 00:00:00,,10292811529,,Other,,Historic,Historic (2004),8597544690,TENET HEALTHCARE CORP,Charities,2,Senior VP - HR,2001-09-01 00:00:00,United States,Member,United States,Non-Brd,S&P MID CAP 400,Anthony L Austin,,NA - Company Network - 20,NA,Director,Company Network,20,
100 Black Men of America Inc,Health,,391392458,Quoted,,,22500155183,,Other,,Historic,Historic,8597544690,TENET HEALTHCARE CORP,Charities,,Budgets Manager,,United States,Director -SD,United States,Non-Brd,S&P MID CAP 400,Gyasi C Chisley,,NA - Company Network - 20,NA,Director,Company Network,20,
121st General Hospital,Health,,391392458,Quoted,Current,,22787665595,,Non-Brd,,Historic,Current,197133612237,TENET HEALTHCARE CORP,Medical,2,Independent Director,2019-10-08 00:00:00,South Korea,Chief,United States,NED,S&P MID CAP 400,Lt. Gen. Nadja Yudith West,,NA - Company Network - 20,NA,Director,Company Network,20,
1LIFE HEALTHCARE INC (ONE MEDICAL),Health,Health,391392458,Quoted,2017-05-04 00:00:00,,93333811943,1,NED,Current,Current,Historic (2017),32439794854,TENET HEALTHCARE CORP,Quoted,2,Independent Director,2014-12-04 00:00:00,United States,Independent Director,United States,NED,S&P MID CAP 400,Doctor Freda C Lewis-Hall,2020-01-31 00:00:00,NA - Company Network - 20,NA,Director,Company Network,20,
Ackerman Group Veterinary Transition Partners,Consumer Services,,414166087,Quoted,2014,,15138478486,3,Non-Brd,Current,Current,Historic (2014),33618986484,VCA INC (VCA Antech Inc prior to 06/2014) (De-listed 09/2017),Private,7,Various Positions,2007,United States,Director - Business Development,United States,Non-Brd,,Tom Wheeler,2018-01-01 00:00:00,NA - Company Network - 21,NA,Director,Company Network,21,
